id,timestamp,type,severity,response_time_seconds,call_answer_time_seconds,ai_summary
451de4ac-47ed-46b5-812a-746b0c77bdc6,2025-01-01T15:45:49,Fire,Medium,225,18,Caller reports a barbecue grill fire that has spread to a wooden fence.
80c4134d-ff3e-48a5-bfd5-0e4ab0c764bc,2025-01-01T20:05:22,Traffic,Critical,697,5,Cyclist struck by a car door. Cyclist conscious but reports leg pain.
0859e34b-064a-42d7-ac86-5ce0c83a31c8,2025-01-02T09:02:53,Medical,Low,523,10,Caller reported heavy bleeding from a laceration on the arm following a workplace accident.
d0bacbf6-00fd-44eb-9ea8-19c73638aa47,2025-01-03T19:01:24,Medical,High,842,7,Caller reported a 34-year-old female experiencing severe chest pain and difficulty breathing.
9e2db53a-b2de-4725-8af4-b5bd73442763,2025-01-06T17:33:11,Medical,Critical,793,8,Caller reported a 34-year-old female experiencing severe chest pain and difficulty breathing.
7d7d496d-6c0e-4c71-a969-b573262e7d0b,2025-01-13T08:14:09,Medical,Critical,844,5,"Caller reported an unresponsive elderly male, possible cardiac arrest. CPR instructions provided by dispatcher."
98eebe48-ba71-4c94-8506-16d5faa3b3bd,2025-01-18T19:06:51,Police,High,1021,5,Caller reports a burglary in progress. Back window was broken. Homeowner is hiding.
2c93d546-81b5-4c8f-a8e8-8f3bd7ca4c79,2025-01-18T22:44:35,Fire,High,330,4,Kitchen fire at a residential address. Caller states the fire is contained to the stove area.
d3998dad-6e4f-4848-ac30-95e4dd87a691,2025-01-25T20:45:52,Traffic,Critical,867,3,Road rage incident escalated to physical altercation. Both drivers pulled over.
6b4ff934-09bc-4b02-83dd-42b9a5146115,2025-01-25T22:39:22,Fire,Low,336,21,Brush fire near a residential community. Potential threat to structures if wind shifts.
ffdcba81-db89-4306-a5dc-be8e8603a9bc,2025-01-27T21:06:26,Medical,Critical,737,8,Seizure in progress at a grocery store. Staff on scene administering first aid.
8bdb35e3-4d3b-4bd4-a9bb-9ad1c06bc9e9,2025-01-29T10:50:21,Medical,Low,876,14,Seizure in progress at a grocery store. Staff on scene administering first aid.
934e35c3-4043-4baf-a95d-69883cd6985e,2025-02-05T07:20:13,Fire,High,701,11,Caller reported smoke visible from a second-floor apartment window. Residents evacuating.
508542b5-9d0d-4ab8-8e73-0180b6208f95,2025-02-13T10:40:57,Medical,Medium,740,5,Caller reported heavy bleeding from a laceration on the arm following a workplace accident.
add4e153-98f7-4c49-8f09-7be4f5a54477,2025-02-14T21:53:48,Police,Low,920,40,"Missing juvenile, age 14, last seen leaving school at 3 PM. Family is distraught."
2e77f2ab-1910-407e-a892-7ab7f2ec7a98,2025-02-16T13:25:27,Medical,Critical,480,5,Allergic reaction following a bee sting. Patient reports throat swelling and difficulty breathing.
fcaee185-798a-4973-8a67-748f2425ab02,2025-02-17T03:08:38,Traffic,Critical,870,8,Flooding across the roadway following heavy rain. Vehicles stalling in standing water.
85261b5f-f7ac-44fa-a2ed-befae6605b5c,2025-02-23T17:44:23,Police,Medium,853,7,Suspicious vehicle parked behind a closed business for over three hours.
0d387f82-5d41-4224-a95a-fe96e47c013f,2025-02-27T12:20:02,Medical,Medium,836,22,"Elderly female fell down stairs, suspected hip fracture. Neighbor called 911."
601b3406-f186-433e-aded-0a0b4774fd8c,2025-03-06T03:05:41,Fire,High,666,12,Vehicle fire on the interstate. No occupants reported inside. Lane closures in effect.
